Timestamp,Task_req
2015-09-21T00:00:00+00:00,6
2015-09-21T00:06:00+00:00,6
2015-09-21T00:12:00+00:00,7
2015-09-21T00:18:00+00:00,7
2015-09-21T00:24:00+00:00,6
2015-09-21T00:30:00+00:00,6
2015-09-21T00:36:00+00:00,6
2015-09-21T00:42:00+00:00,6
2015-09-21T00:48:00+00:00,6
2015-09-21T00:54:00+00:00,6
2015-09-21T01:00:00+00:00,6
2015-09-21T01:06:00+00:00,6
2015-09-21T01:12:00+00:00,7
2015-09-21T01:18:00+00:00,7
2015-09-21T01:24:00+00:00,6
2015-09-21T01:30:00+00:00,6
2015-09-21T01:36:00+00:00,6
2015-09-21T01:42:00+00:00,6
2015-09-21T01:48:00+00:00,6
2015-09-21T01:54:00+00:00,6
2015-09-21T02:00:00+00:00,6
2015-09-21T02:06:00+00:00,7
2015-09-21T02:12:00+00:00,7
2015-09-21T02:18:00+00:00,7
2015-09-21T02:24:00+00:00,7
2015-09-21T02:30:00+00:00,6
2015-09-21T02:36:00+00:00,6
2015-09-21T02:42:00+00:00,7
2015-09-21T02:48:00+00:00,7
2015-09-21T02:54:00+00:00,6
2015-09-21T03:00:00+00:00,6
2015-09-21T03:06:00+00:00,6
2015-09-21T03:12:00+00:00,7
2015-09-21T03:18:00+00:00,7
2015-09-21T03:24:00+00:00,6
2015-09-21T03:30:00+00:00,6
2015-09-21T03:36:00+00:00,6
2015-09-21T03:42:00+00:00,6
2015-09-21T03:48:00+00:00,6
2015-09-21T03:54:00+00:00,6
2015-09-21T04:00:00+00:00,6
2015-09-21T04:06:00+00:00,6
2015-09-21T04:12:00+00:00,6
2015-09-21T04:18:00+00:00,6
2015-09-21T04:24:00+00:00,6
2015-09-21T04:30:00+00:00,6
2015-09-21T04:36:00+00:00,6
2015-09-21T04:42:00+00:00,6
2015-09-21T04:48:00+00:00,6
2015-09-21T04:54:00+00:00,6
2015-09-21T05:00:00+00:00,5
2015-09-21T05:06:00+00:00,6
2015-09-21T05:12:00+00:00,6
2015-09-21T05:18:00+00:00,6
2015-09-21T05:24:00+00:00,6
2015-09-21T05:30:00+00:00,6
2015-09-21T05:36:00+00:00,6
2015-09-21T05:42:00+00:00,6
2015-09-21T05:48:00+00:00,6
2015-09-21T05:54:00+00:00,6
2015-09-21T06:00:00+00:00,6
2015-09-21T06:06:00+00:00,6
2015-09-21T06:12:00+00:00,6
2015-09-21T06:18:00+00:00,6
2015-09-21T06:24:00+00:00,6
2015-09-21T06:30:00+00:00,6
2015-09-21T06:36:00+00:00,6
2015-09-21T06:42:00+00:00,7
2015-09-21T06:48:00+00:00,6
2015-09-21T06:54:00+00:00,6
2015-09-21T07:00:00+00:00,6
2015-09-21T07:06:00+00:00,6
2015-09-21T07:12:00+00:00,6
2015-09-21T07:18:00+00:00,6
2015-09-21T07:24:00+00:00,6
2015-09-21T07:30:00+00:00,6
2015-09-21T07:36:00+00:00,6
2015-09-21T07:42:00+00:00,6
2015-09-21T07:48:00+00:00,7
2015-09-21T07:54:00+00:00,6
2015-09-21T08:00:00+00:00,6
2015-09-21T08:06:00+00:00,7
2015-09-21T08:12:00+00:00,7
2015-09-21T08:18:00+00:00,7
2015-09-21T08:24:00+00:00,7
2015-09-21T08:30:00+00:00,6
2015-09-21T08:36:00+00:00,6
2015-09-21T08:42:00+00:00,6
2015-09-21T08:48:00+00:00,7
2015-09-21T08:54:00+00:00,6
2015-09-21T09:00:00+00:00,6
2015-09-21T09:06:00+00:00,6
2015-09-21T09:12:00+00:00,7
2015-09-21T09:18:00+00:00,7
2015-09-21T09:24:00+00:00,7
2015-09-21T09:30:00+00:00,7
2015-09-21T09:36:00+00:00,6
2015-09-21T09:42:00+00:00,6
2015-09-21T09:48:00+00:00,6
2015-09-21T09:54:00+00:00,6
2015-09-21T10:00:00+00:00,6
2015-09-21T10:06:00+00:00,7
2015-09-21T10:12:00+00:00,7
2015-09-21T10:18:00+00:00,8
2015-09-21T10:24:00+00:00,7
2015-09-21T10:30:00+00:00,7
2015-09-21T10:36:00+00:00,7
2015-09-21T10:42:00+00:00,6
2015-09-21T10:48:00+00:00,6
2015-09-21T10:54:00+00:00,6
2015-09-21T11:00:00+00:00,6
2015-09-21T11:06:00+00:00,7
2015-09-21T11:12:00+00:00,7
2015-09-21T11:18:00+00:00,7
2015-09-21T11:24:00+00:00,7
2015-09-21T11:30:00+00:00,7
2015-09-21T11:36:00+00:00,7
2015-09-21T11:42:00+00:00,6
2015-09-21T11:48:00+00:00,7
2015-09-21T11:54:00+00:00,6
2015-09-21T12:00:00+00:00,6
2015-09-21T12:06:00+00:00,7
2015-09-21T12:12:00+00:00,7
2015-09-21T12:18:00+00:00,7
2015-09-21T12:24:00+00:00,7
2015-09-21T12:30:00+00:00,7
2015-09-21T12:36:00+00:00,7
2015-09-21T12:42:00+00:00,7
2015-09-21T12:48:00+00:00,7
2015-09-21T12:54:00+00:00,7
2015-09-21T13:00:00+00:00,7
2015-09-21T13:06:00+00:00,7
2015-09-21T13:12:00+00:00,8
2015-09-21T13:18:00+00:00,8
2015-09-21T13:24:00+00:00,8
2015-09-21T13:30:00+00:00,8
2015-09-21T13:36:00+00:00,7
2015-09-21T13:42:00+00:00,7
2015-09-21T13:48:00+00:00,7
2015-09-21T13:54:00+00:00,7
